seed,shape,variant,mean_dev,mean_energy,success,n_evade
0,straight,full,31.826110107960346,0.14865073944730536,21.262458471760798,7
0,circle,full,25.588184803333395,0.13490090164218624,30.89700996677741,6
0,polyline,full,17.083664056364576,0.11897338162396667,56.810631229235874,4
0,straight,no-LSTM,28.184822737921852,0.15099858928811422,23.588039867109632,8
0,circle,no-LSTM,22.28452332851126,0.14051735864808174,38.205980066445186,6
0,polyline,no-LSTM,20.705129894472766,0.1133550431599814,49.16943521594684,7
0,straight,unbounded,27.39120038630698,0.152761362634733,27.906976744186046,7
0,circle,unbounded,26.824341152862257,0.1271451799322648,29.568106312292358,6
0,polyline,unbounded,21.087293015839766,0.12900953820238323,45.182724252491695,7
0,straight,no-anchor,11.459809944627601,0.17056692183087352,58.80398671096345,0
0,circle,no-anchor,22.246520888661703,0.14375740931166514,31.893687707641195,11
0,polyline,no-anchor,14.151104738292398,0.16454421854229245,50.83056478405316,0
0,straight,no-horizon,30.703781353827058,0.15661202928694917,26.910299003322258,11
0,circle,no-horizon,25.588184803333395,0.13490090164218624,30.89700996677741,6
0,polyline,no-horizon,21.216290967277015,0.1291761730479352,44.518272425249165,7
1,straight,full,25.878304194298888,0.1376696496294004,31.22923588039867,5
1,circle,full,24.13045275354025,0.13926224802630682,32.22591362126246,7
1,polyline,full,21.065956117741347,0.13700788242111903,45.182724252491695,9
1,straight,no-LSTM,23.789863659929082,0.14711995616163812,37.2093023255814,9
1,circle,no-LSTM,25.90832177470379,0.1329639491665038,29.568106312292358,6
1,polyline,no-LSTM,22.91647689676679,0.13804362025215,41.52823920265781,7
1,straight,unbounded,26.17102056097093,0.135993787212461,34.883720930232556,5
1,circle,unbounded,25.686903982917325,0.13170101587371927,30.89700996677741,7
1,polyline,unbounded,22.06520119018559,0.12694879061965886,44.518272425249165,6
1,straight,no-anchor,11.145691741194792,0.17102070094001723,54.48504983388705,0
1,circle,no-anchor,23.002760686051012,0.16165881114720687,23.588039867109632,15
1,polyline,no-anchor,8.816546098948518,0.1712662445133382,68.77076411960132,0
1,straight,no-horizon,33.06975303866725,0.1505340006608913,22.92358803986711,8
1,circle,no-horizon,24.20365278263911,0.13995762467942807,32.22591362126246,7
1,polyline,no-horizon,19.99249118043949,0.1453877037062115,40.863787375415285,8
2,straight,full,24.15644671730959,0.13367829650076435,33.222591362126245,5
2,circle,full,22.139101231925885,0.13981950798739903,34.55149501661129,6
2,polyline,full,20.86022815971083,0.1524211322450199,35.548172757475086,8
2,straight,no-LSTM,23.01936373465063,0.13570050308150577,41.52823920265781,7
2,circle,no-LSTM,24.640322117675304,0.15077030720915027,28.23920265780731,6
2,polyline,no-LSTM,17.857888815735325,0.13603460121608055,46.84385382059801,17
2,straight,unbounded,24.86516213087696,0.15102685728505402,32.22591362126246,13
2,circle,unbounded,23.555609230486432,0.14037819382500294,32.89036544850498,6
2,polyline,unbounded,19.855560494006156,0.13945158926748336,44.18604651162791,13
2,straight,no-anchor,11.61486955901121,0.17142176802018502,54.48504983388705,0
2,circle,no-anchor,29.094369207957513,0.14880539570609827,25.249169435215947,8
2,polyline,no-anchor,14.222098425060256,0.16422061499626656,50.498338870431894,3
2,straight,no-horizon,22.053261315980933,0.15732819912344942,31.22923588039867,8
2,circle,no-horizon,22.67423689641565,0.13914142048829667,30.564784053156146,7
2,polyline,no-horizon,20.113897276532796,0.14171733372025289,38.53820598006645,10
