seed,wind,shape,method,mean_dev,adaptation,n_evade,min_dist,mean_energy,success
0,0.0,straight,Pure Pursuit,21.00498891335956,11.5,14,3.8609393792192055,0.15472506540886424,37.54152823920266
0,0.0,straight,Line of Sight,13.969287176976275,20.5,9,1.5889738380598857,0.15579805313272563,52.159468438538205
0,0.0,straight,Vector Field,29.499099657800162,80.5,8,15.737257742803266,0.16082759885513842,12.956810631229235
0,0.0,straight,Nonlinear Stabilization,26.733675289299985,35.0,7,0.38453300499210563,0.15026010053041114,29.900332225913623
0,0.0,straight,Proposed AI,31.826110107960346,34.0,7,3.976628674085246,0.14865073944730536,21.262458471760798
0,0.0,circle,Pure Pursuit,16.382977676563318,2.5,7,0.26642986312155514,0.16271931723660218,42.524916943521596
0,0.0,circle,Line of Sight,14.213193024551465,8.5,11,1.614129179209943,0.1680093010075867,52.823920265780735
0,0.0,circle,Vector Field,20.71527487501284,15.5,9,3.7323594122739987,0.14982262676564276,39.8671096345515
0,0.0,circle,Nonlinear Stabilization,20.730878879922614,16.0,6,9.35127560662897,0.1539036160475719,37.2093023255814
0,0.0,circle,Proposed AI,25.588184803333395,19.5,6,19.86565118818124,0.13490090164218624,30.89700996677741
0,0.0,polyline,Pure Pursuit,18.960344313331134,11.5,9,3.8609393792192055,0.15969400771402908,38.53820598006645
0,0.0,polyline,Line of Sight,12.444667107035315,15.5,12,4.403294945498596,0.15732053054485826,51.82724252491694
0,0.0,polyline,Vector Field,20.835230967720612,20.0,6,14.548060229547787,0.1460277397005172,39.8671096345515
0,0.0,polyline,Nonlinear Stabilization,17.435521446143092,16.5,10,8.073241306109846,0.15170366732387247,42.857142857142854
0,0.0,polyline,Proposed AI,17.083664056364576,23.5,4,6.92237125488265,0.11897338162396667,56.810631229235874
0,1.5,straight,Pure Pursuit,18.59720896072197,4.5,11,1.1618979805994272,0.20739235726369587,46.51162790697674
0,1.5,straight,Line of Sight,22.83144226508261,1.0,7,2.459356415429802,0.2053522189632157,36.21262458471761
0,1.5,straight,Vector Field,18.654122151971,53.5,2,20.316460784305228,0.17462214808511833,64.45182724252491
0,1.5,straight,Nonlinear Stabilization,31.655183078621853,38.0,10,0.4699627879896493,0.19003554999437733,22.92358803986711
0,1.5,straight,Proposed AI,30.704625218854005,38.0,6,0.4820061422064512,0.19634287028449193,22.259136212624583
0,1.5,circle,Pure Pursuit,18.07900029278219,16.0,14,5.672722775245472,0.19114441547440092,41.52823920265781
0,1.5,circle,Line of Sight,15.380223192918308,15.0,5,1.2938635126825204,0.21873153020547068,49.501661129568106
0,1.5,circle,Vector Field,23.500876786763722,16.5,7,1.2051638259385005,0.18883564055779975,31.22923588039867
0,1.5,circle,Nonlinear Stabilization,18.35435145814164,13.0,7,1.7192581662676822,0.19061801871892214,35.548172757475086
0,1.5,circle,Proposed AI,22.02411469522479,20.0,7,0.955655136518919,0.19110926568079492,37.2093023255814
0,1.5,polyline,Pure Pursuit,20.843291736564606,4.5,8,1.802825363722695,0.20187264856275175,39.53488372093023
0,1.5,polyline,Line of Sight,19.554243925839568,1.0,6,1.9466086516616592,0.17794742457936819,39.202657807308974
