seed,sigma,shape,method,mean_dev,adaptation,n_evade,min_dist,mean_energy,success
0,0.5,straight,Pure Pursuit,21.449054892281776,13.0,7,0.8246605755840957,0.1505639174785104,39.202657807308974
0,0.5,straight,Line of Sight,11.780675646476723,12.0,7,0.8608471364173678,0.15635651209393173,55.81395348837209
0,0.5,straight,Vector Field,32.60767960820844,38.5,7,6.997938340939192,0.14742231890805604,21.92691029900332
0,0.5,straight,Nonlinear Stabilization,26.948933207379714,35.0,5,3.215346639574591,0.14039555339456675,25.91362126245847
0,0.5,straight,Proposed AI,27.824696111853576,23.0,6,4.114190155520298,0.1365424623140593,27.57475083056478
0,0.5,circle,Pure Pursuit,14.869701075762066,10.5,7,1.2460937663488778,0.16712550570117204,50.83056478405316
0,0.5,circle,Line of Sight,14.167261169322671,8.5,8,1.6101523830779598,0.16732014827577846,48.50498338870432
0,0.5,circle,Vector Field,17.730631801958275,15.5,6,9.32359547691035,0.14005194632781462,48.17275747508305
0,0.5,circle,Nonlinear Stabilization,18.24000074156285,14.0,6,13.293557064498826,0.1295452902417845,47.50830564784053
0,0.5,circle,Proposed AI,26.165162723874445,20.5,6,20.585707547318858,0.129977368847358,29.2358803986711
0,0.5,polyline,Pure Pursuit,19.183756860766945,13.0,7,0.8246605755840957,0.1571981216337363,37.2093023255814
0,0.5,polyline,Line of Sight,11.780675646476723,12.0,7,0.8608471364173678,0.15635651209393173,55.81395348837209
0,0.5,polyline,Vector Field,20.74882575898432,16.5,7,1.8909092159285112,0.155644673080827,33.5548172757475
0,0.5,polyline,Nonlinear Stabilization,20.2986541166645,16.5,6,7.538813702110788,0.14180175801194797,39.53488372093023
0,0.5,polyline,Proposed AI,21.20221524667227,13.5,7,12.55317628039941,0.1611328358746249,28.23920265780731
0,1.0,straight,Pure Pursuit,15.776216089416254,1.5,9,0.38762383481994256,0.15902116503436015,41.52823920265781
0,1.0,straight,Line of Sight,20.98237262119714,11.0,7,3.280961387604367,0.15213757895396185,37.54152823920266
0,1.0,straight,Vector Field,30.65968763325153,102.5,7,15.70635290288823,0.15649019411202164,11.295681063122924
0,1.0,straight,Nonlinear Stabilization,25.92642849060383,51.0,8,6.870661578646668,0.15000069061112975,25.249169435215947
0,1.0,straight,Proposed AI,20.38411840388223,32.0,3,10.298775101109667,0.14158319678425157,43.18936877076412
0,1.0,circle,Pure Pursuit,15.138471619756666,10.5,12,1.4948045431395478,0.16695661406259032,45.182724252491695
0,1.0,circle,Line of Sight,14.168508475118935,8.5,10,1.4524008237812769,0.16728132888372432,51.82724252491694
0,1.0,circle,Vector Field,16.585614479588315,15.5,6,8.854746350684213,0.14503476077703376,52.159468438538205
0,1.0,circle,Nonlinear Stabilization,18.05569859737223,14.0,6,12.87988147207442,0.14299302386907284,45.84717607973422
0,1.0,circle,Proposed AI,28.211038202064902,22.5,6,21.646054869233712,0.12443368001481077,27.242524916943523
0,1.0,polyline,Pure Pursuit,14.97415388609213,1.5,7,0.38762383481994256,0.16159729108328139,41.52823920265781
0,1.0,polyline,Line of Sight,11.842392827633129,11.0,7,3.280961387604367,0.15779454638528873,50.83056478405316
0,1.0,polyline,Vector Field,17.439256331267167,19.0,4,23.678492912839857,0.11867524793847324,53.48837209302325
0,1.0,polyline,Nonlinear Stabilization,17.425131258229168,21.5,6,10.867959088423941,0.14560262290335949,37.2093023255814
0,1.0,polyline,Proposed AI,17.87210238177146,22.5,4,7.880884967414827,0.11469600517175224,52.823920265780735
0,1.5,straight,Pure Pursuit,21.00498891335956,11.5,14,3.8609393792192055,0.15472506540886424,37.54152823920266
0,1.5,straight,Line of Sight,13.969287176976275,20.5,9,1.5889738380598857,0.15579805313272563,52.159468438538205
0,1.5,straight,Vector Field,29.499099657800162,80.5,8,15.737257742803266,0.16082759885513842,12.956810631229235
0,1.5,straight,Nonlinear Stabilization,26.733675289299985,35.0,7,0.38453300499210563,0.15026010053041114,29.900332225913623
0,1.5,straight,Proposed AI,31.826110107960346,34.0,7,3.976628674085246,0.14865073944730536,21.262458471760798
0,1.5,circle,Pure Pursuit,16.382977676563318,2.5,7,0.26642986312155514,0.16271931723660218,42.524916943521596
