seed,shape,method,mean_dev,adaptation,n_evade,min_dist,mean_energy,success
0,straight,Pure Pursuit,21.00498891335956,11.5,14,3.8609393792192055,0.15472506540886424,37.54152823920266
0,straight,Line of Sight,13.969287176976275,20.5,9,1.5889738380598857,0.15579805313272563,52.159468438538205
0,straight,Vector Field,29.499099657800162,80.5,8,15.737257742803266,0.16082759885513842,12.956810631229235
0,straight,Nonlinear Stabilization,26.733675289299985,35.0,7,0.38453300499210563,0.15026010053041114,29.900332225913623
0,straight,Proposed AI,31.826110107960346,34.0,7,3.976628674085246,0.14865073944730536,21.262458471760798
0,circle,Pure Pursuit,16.382977676563318,2.5,7,0.26642986312155514,0.16271931723660218,42.524916943521596
0,circle,Line of Sight,14.213193024551465,8.5,11,1.614129179209943,0.1680093010075867,52.823920265780735
0,circle,Vector Field,20.71527487501284,15.5,9,3.7323594122739987,0.14982262676564276,39.8671096345515
0,circle,Nonlinear Stabilization,20.730878879922614,16.0,6,9.35127560662897,0.1539036160475719,37.2093023255814
0,circle,Proposed AI,25.588184803333395,19.5,6,19.86565118818124,0.13490090164218624,30.89700996677741
0,polyline,Pure Pursuit,18.960344313331134,11.5,9,3.8609393792192055,0.15969400771402908,38.53820598006645
0,polyline,Line of Sight,12.444667107035315,15.5,12,4.403294945498596,0.15732053054485826,51.82724252491694
0,polyline,Vector Field,20.835230967720612,20.0,6,14.548060229547787,0.1460277397005172,39.8671096345515
0,polyline,Nonlinear Stabilization,17.435521446143092,16.5,10,8.073241306109846,0.15170366732387247,42.857142857142854
0,polyline,Proposed AI,17.083664056364576,23.5,4,6.92237125488265,0.11897338162396667,56.810631229235874
1,straight,Pure Pursuit,25.391386987696368,14.0,9,4.1102797537514135,0.14901513022618543,33.5548172757475
1,straight,Line of Sight,19.723663650520447,13.0,17,3.025070148208437,0.1507485135109301,42.19269102990033
1,straight,Vector Field,31.641333556113985,44.5,6,7.6360514758867035,0.15041760734650822,21.59468438538206
1,straight,Nonlinear Stabilization,28.24914007122436,34.5,10,6.092465495128397,0.1508420930756728,28.57142857142857
1,straight,Proposed AI,25.878304194298888,42.0,5,2.4579096887233867,0.1376696496294004,31.22923588039867
1,circle,Pure Pursuit,16.27061685903646,12.0,14,1.340336146136174,0.1668834437880371,42.19269102990033
1,circle,Line of Sight,15.542418593287508,8.0,12,0.20176708086938788,0.15549212556143718,48.50498338870432
1,circle,Vector Field,20.847185540244414,18.0,9,8.51845095942978,0.1513847808092155,39.8671096345515
1,circle,Nonlinear Stabilization,21.171592919491562,17.5,10,8.8517497928483,0.14555669615597988,37.87375415282392
1,circle,Proposed AI,24.13045275354025,19.0,7,10.374136459856826,0.13926224802630682,32.22591362126246
1,polyline,Pure Pursuit,20.333942685042278,14.0,8,4.686656966018354,0.15775149378254,37.2093023255814
1,polyline,Line of Sight,12.310640643181731,13.5,12,3.088673309369927,0.15764697932530095,50.83056478405316
1,polyline,Vector Field,18.713758237397222,20.5,5,11.948311985181443,0.14609754270460856,45.84717607973422
1,polyline,Nonlinear Stabilization,21.826358495972705,20.5,6,8.383630848817596,0.14767004882774465,41.86046511627907
1,polyline,Proposed AI,21.065956117741347,15.0,9,5.950955089733061,0.13700788242111903,45.182724252491695
2,straight,Pure Pursuit,29.9191392812762,44.5,16,4.104661322305413,0.15385067136077613,27.57475083056478
2,straight,Line of Sight,11.85939322260472,14.5,13,1.9618279640908458,0.15591298683980015,51.162790697674424
2,straight,Vector Field,26.070158156818437,16.0,10,4.360590697221204,0.16002596850884554,29.900332225913623
2,straight,Nonlinear Stabilization,23.80797107074069,13.5,9,5.247555953387749,0.15302498836318607,33.5548172757475
2,straight,Proposed AI,24.15644671730959,22.0,5,6.639046276952571,0.13367829650076435,33.222591362126245
2,circle,Pure Pursuit,16.583117591509723,9.0,12,3.7585910554442847,0.16160088525597524,42.857142857142854
2,circle,Line of Sight,22.631374145187426,2.5,13,5.781121185359691,0.12560757500969125,33.88704318936877
2,circle,Vector Field,20.202493850226045,17.0,5,8.988566009856235,0.13970456267739728,44.85049833887043
2,circle,Nonlinear Stabilization,19.14374753617947,15.0,8,7.821519818468552,0.1530765185197132,41.19601328903654
2,circle,Proposed AI,22.139101231925885,19.0,6,13.052554547871608,0.13981950798739903,34.55149501661129
2,polyline,Pure Pursuit,13.833836341651583,16.0,7,1.7130450547937883,0.16332366591905798,44.518272425249165
2,polyline,Line of Sight,11.85939322260472,14.5,13,1.9618279640908458,0.15591298683980015,51.162790697674424
2,polyline,Vector Field,21.763020101805203,16.0,8,5.701030018905652,0.1494026207325022,37.87375415282392
2,polyline,Nonlinear Stabilization,18.538243067101,13.5,6,5.753914736878338,0.15251544972845393,43.521594684385384
2,polyline,Proposed AI,20.86022815971083,12.5,8,8.735598741125218,0.1524211322450199,35.548172757475086
3,straight,Pure Pursuit,19.958321850971952,1.0,7,1.1541367143364205,0.16029227782185487,37.87375415282392
3,straight,Line of Sight,12.15790906941032,14.5,13,0.5656645323804081,0.15713876757380854,53.48837209302325
3,straight,Vector Field,14.860547518194517,54.0,2,13.962503519308688,0.12172346255369901,64.11960132890366
3,straight,Nonlinear Stabilization,27.19402956494605,33.5,7,3.1382290838438855,0.14576380936866867,28.23920265780731
3,straight,Proposed AI,24.392852976459352,33.5,4,3.818320925221995,0.14095898704860788,35.548172757475086
3,circle,Pure Pursuit,19.29715408277088,14.5,17,5.752902556736066,0.14716167726306884,40.19933554817276
3,circle,Line of Sight,18.972492872164306,7.0,12,4.460440268429344,0.1425462412450004,38.205980066445186
3,circle,Vector Field,22.835625513771355,14.0,9,1.912953356249517,0.16263787719005812,31.893687707641195
3,circle,Nonlinear Stabilization,18.14023235519977,15.0,6,11.156687573843026,0.1484925586781494,42.19269102990033
3,circle,Proposed AI,22.609005141141743,22.0,7,9.944044562032426,0.1386097215384558,38.205980066445186
3,polyline,Pure Pursuit,19.99286535617666,1.0,8,1.1541367143364205,0.16008462293782427,38.53820598006645
3,polyline,Line of Sight,12.15790906941032,14.5,14,0.5656645323804081,0.15713876757380854,53.48837209302325
3,polyline,Vector Field,18.724381676338492,19.0,5,4.452804866793661,0.14500502772764087,44.18604651162791
3,polyline,Nonlinear Stabilization,21.379709032401326,19.5,7,1.3434509899450209,0.14366816705177235,40.19933554817276
3,polyline,Proposed AI,21.680670089840504,20.5,6,15.493628091738534,0.13554766526478584,34.21926910299003
4,straight,Pure Pursuit,20.934540612273203,12.5,10,0.851301822453232,0.15141484579133652,38.87043189368771
4,straight,Line of Sight,11.548484153729227,12.0,13,3.0591554676867467,0.1628479010342872,54.15282392026578
4,straight,Vector Field,36.31275912357008,59.0,8,7.216505513094132,0.1564054484909839,18.272425249169437
4,straight,Nonlinear Stabilization,22.508244364360085,16.5,6,2.5452552789310987,0.14150468503302938,35.880398671096344
4,straight,Proposed AI,28.986291112484906,33.0,5,6.322680286900128,0.14313441564827661,27.57475083056478
4,circle,Pure Pursuit,17.619303155758452,22.5,12,3.854360747139266,0.12836481519291554,50.16611295681063
4,circle,Line of Sight,14.623588379982152,13.5,15,2.843552421391742,0.16501713202470467,52.49169435215947
4,circle,Vector Field,18.541864084927347,15.0,6,11.284652949075866,0.13871642226444725,46.84385382059801
