seed,shape,method,threshold,success
1,straight,Pure Pursuit,12.0,33.5548172757475
1,straight,Pure Pursuit,15.0,39.53488372093023
1,straight,Pure Pursuit,20.0,46.84385382059801
1,straight,Line of Sight,4.0,21.262458471760798
1,straight,Line of Sight,6.0,26.245847176079735
1,straight,Line of Sight,8.0,30.564784053156146
1,straight,Line of Sight,10.0,37.2093023255814
1,straight,Line of Sight,12.0,42.19269102990033
1,straight,Line of Sight,15.0,50.16611295681063
1,straight,Line of Sight,20.0,62.12624584717608
1,straight,Vector Field,4.0,10.631229235880399
1,straight,Vector Field,6.0,12.29235880398671
1,straight,Vector Field,8.0,13.2890365448505
1,straight,Vector Field,10.0,16.943521594684384
1,straight,Vector Field,12.0,21.59468438538206
1,straight,Vector Field,15.0,28.57142857142857
1,straight,Vector Field,20.0,34.883720930232556
1,straight,Nonlinear Stabilization,4.0,13.2890365448505
1,straight,Nonlinear Stabilization,6.0,16.943521594684384
1,straight,Nonlinear Stabilization,8.0,20.59800664451827
1,straight,Nonlinear Stabilization,10.0,24.58471760797342
1,straight,Nonlinear Stabilization,12.0,28.57142857142857
1,straight,Nonlinear Stabilization,15.0,31.561461794019934
1,straight,Nonlinear Stabilization,20.0,37.2093023255814
1,straight,Proposed AI,4.0,20.26578073089701
1,straight,Proposed AI,6.0,23.25581395348837
1,straight,Proposed AI,8.0,26.910299003322258
1,straight,Proposed AI,10.0,29.568106312292358
1,straight,Proposed AI,12.0,31.22923588039867
1,straight,Proposed AI,15.0,36.544850498338874
1,straight,Proposed AI,20.0,43.18936877076412
1,circle,Pure Pursuit,4.0,14.285714285714285
1,circle,Pure Pursuit,6.0,22.259136212624583
1,circle,Pure Pursuit,8.0,30.23255813953488
1,circle,Pure Pursuit,10.0,36.21262458471761
1,circle,Pure Pursuit,12.0,42.19269102990033
1,circle,Pure Pursuit,15.0,51.162790697674424
1,circle,Pure Pursuit,20.0,65.4485049833887
1,circle,Line of Sight,4.0,13.953488372093023
1,circle,Line of Sight,6.0,21.262458471760798
1,circle,Line of Sight,8.0,27.57475083056478
1,circle,Line of Sight,10.0,36.544850498338874
1,circle,Line of Sight,12.0,48.50498338870432
1,circle,Line of Sight,15.0,58.139534883720934
1,circle,Line of Sight,20.0,69.10299003322258
1,circle,Vector Field,4.0,17.60797342192691
1,circle,Vector Field,6.0,23.588039867109632
