seed,shape,factor,hidden,mean_dev,mean_energy,success,n_evade,horizon,beta
0,straight,hidden,8.0,30.152019336383074,0.14873521978439444,26.245847176079735,7,,
0,circle,hidden,8.0,23.32009620781172,0.13920628491962328,33.88704318936877,8,,
0,polyline,hidden,8.0,20.095803027453695,0.1244386980586716,46.51162790697674,5,,
0,straight,hidden,16.0,31.826110107960346,0.14865073944730536,21.262458471760798,7,,
0,circle,hidden,16.0,25.588184803333395,0.13490090164218624,30.89700996677741,6,,
0,polyline,hidden,16.0,17.083664056364576,0.11897338162396667,56.810631229235874,4,,
0,straight,hidden,32.0,30.4782641276504,0.1336853062115171,24.916943521594686,8,,
0,circle,hidden,32.0,26.51293020016838,0.13638326122920644,29.568106312292358,6,,
0,polyline,hidden,32.0,20.908617752644044,0.1282197793171124,44.85049833887043,7,,
0,straight,horizon,,31.618873768489962,0.14829960738756018,28.903654485049834,6,2.0,
0,circle,horizon,,25.588184803333395,0.13490090164218624,30.89700996677741,6,2.0,
0,polyline,horizon,,22.011620469404225,0.13150061597050822,44.18604651162791,5,2.0,
0,straight,horizon,,31.826110107960346,0.14865073944730536,21.262458471760798,7,4.0,
0,circle,horizon,,25.588184803333395,0.13490090164218624,30.89700996677741,6,4.0,
0,polyline,horizon,,17.083664056364576,0.11897338162396667,56.810631229235874,4,4.0,
0,straight,horizon,,29.59432313158923,0.14645614824128045,24.25249169435216,10,8.0,
0,circle,horizon,,23.666450592095547,0.12467972803116766,35.548172757475086,5,8.0,
0,polyline,horizon,,21.866200191998093,0.11645796475654277,42.857142857142854,8,8.0,
0,straight,beta,,33.072227663967645,0.14433030442173603,23.588039867109632,9,,0.15
0,circle,beta,,21.62901072891144,0.13677022133790184,33.5548172757475,6,,0.15
0,polyline,beta,,21.11538378462626,0.12700232669433906,43.85382059800664,9,,0.15
0,straight,beta,,31.826110107960346,0.14865073944730536,21.262458471760798,7,,0.35
0,circle,beta,,25.588184803333395,0.13490090164218624,30.89700996677741,6,,0.35
0,polyline,beta,,17.083664056364576,0.11897338162396667,56.810631229235874,4,,0.35
0,straight,beta,,37.650634639801645,0.15271556839049935,22.259136212624583,8,,0.55
0,circle,beta,,27.262846778160387,0.15267109542182375,23.25581395348837,7,,0.55
0,polyline,beta,,23.744927170041777,0.12886175049740908,37.54152823920266,5,,0.55
1,straight,hidden,8.0,33.082175701754004,0.15063995785321918,23.25581395348837,8,,
1,circle,hidden,8.0,26.111043390176047,0.1334651145220078,30.89700996677741,9,,
1,polyline,hidden,8.0,18.51364670904439,0.1436369019293765,45.51495016611295,7,,
1,straight,hidden,16.0,25.878304194298888,0.1376696496294004,31.22923588039867,5,,
1,circle,hidden,16.0,24.13045275354025,0.13926224802630682,32.22591362126246,7,,
1,polyline,hidden,16.0,21.065956117741347,0.13700788242111903,45.182724252491695,9,,
1,straight,hidden,32.0,26.550487122983927,0.13730475914584453,31.22923588039867,5,,
1,circle,hidden,32.0,23.236226728917767,0.1360222085748286,33.88704318936877,6,,
1,polyline,hidden,32.0,18.820726590530942,0.12568027386521913,51.162790697674424,6,,
1,straight,horizon,,33.06975303866725,0.1505340006608913,22.92358803986711,8,2.0,
1,circle,horizon,,23.2297918282993,0.13889013595637678,34.883720930232556,7,2.0,
1,polyline,horizon,,20.634429749688035,0.1402302953453235,45.182724252491695,8,2.0,
1,straight,horizon,,25.878304194298888,0.1376696496294004,31.22923588039867,5,4.0,
