epoch,mse
1,4.1444477575172565
2,3.997716858590546
3,3.9248003967314093
4,3.8522355401486
5,3.7863804052905508
6,3.7337165621726855
7,3.680310714150053
8,3.625959783741814
9,3.5705276454778754
10,3.5200496439421975
11,3.4795246451716273
12,3.438552050492216
13,3.397104431100806
14,3.3552335589311095
15,3.3175909863751847
16,3.287651487205563
17,3.257683574237775
18,3.2276864168851955
19,3.197672822901271
20,3.1709088670744596
21,3.1497820074332785
22,3.128697935746884
23,3.107653987558245
24,3.086656827021857
25,3.067945769581571
26,3.0532441829212087
27,3.0385804560500387
28,3.023953426231512
29,3.009360058446817
30,2.996343250595561
31,2.9861406937252655
32,2.975961107468454
33,2.9658044783316377
34,2.955671099525603
35,2.946628988644476
36,2.9395557087048547
37,2.932496939671241
38,2.9254528562884112
39,2.9184240849086516
40,2.912142907815987
41,2.9072338385618886
42,2.9023326714042144
43,2.897439372649292
44,2.8925539280003716
45,2.888183072768903
